Rank,Licensee Name,Total Units,Unique Addresses,Counties,Cities Served,Phone,Score,Owner Name,Owner Email,Owner LinkedIn,Website,Notes
684,LITTLE GASPARILLA VACATION RENTALS LLC,40,40,Charlotte,"PLACIDA, PLACIDA ",941-662-7163,87.2,,,,,
708,"SAIL VACATION RENTALS, LLC",38,34,"Okaloosa, Walton","DESTIN, MIRAMAR BEACH",8504603181,87.2,,,,,
946,VILLA GROVE PROPERTIES LLC,28,28,"Okaloosa, Walton","DESTIN, MIRAMAR BEACH, SANTA ROSA BEACH",8506014922,87.2,,,,,
725,MLAC PROPERTY SERVICES INC,37,37,"Lake, Osceola, Polk","CLERMONT, DAVENPORT, KISSIMMEE",844-707-3767,87.0,,,,,
738,LIVE THE GULF COAST.COM INC,37,37,"Bay, Okaloosa, Santa Rosa, Walton","DESTIN, GULF BREEZE, LYNN HAVEN, PANAMA CITY, PANAMA CITY BEACH, SANTA ROSA BEACH, SEAGROVE BEACH, WESTVILLE",850.914.2277,87.0,,,,,
692,LOCALVR LLC,39,38,"Bay, Okaloosa, Walton","DESTIN, INLET BEACH, MIRAMAR BEACH, PANAMA CITY BEACH, ROSEMARY BEACH, SANTA ROSA BEACH, SEAGROVE",7208288077,86.8,,,,,
727,PERSONAL TOUCH MANAGEMENT COMPANY LLC,37,33,"Osceola, Polk","DAVENPORT, HAINES CITY, KISSIMMEE",3524591779,86.7,,,,,
712,SEA STAR PROPERTY MANAGEMENT LLC,38,38,Lee,"CAPE CORAL, FORT MYERS",239.689.4586,86.4,,,,,
989,MARVEL VACATION PROPERTIES LLC,26,26,"Osceola, Polk","DAVENPORT, DAVENPORT , DEVENPORT, KISSIMMEE",4077432750,86.4,,,,,
998,OPULENT PROPERTY MANAGEMENT LLC,26,26,"Duval, St. Johns","JACKSONVILLE, JACKSONVILLE BEACH, JACKSONVILLE BEACH , PONTE VEDRA , PONTE VEDRA BEACH, ST AUGUSTINE ",9046275700,86.4,,,,,
909,DREAMS N FUN VACATION HOMES LLC,29,28,"Osceola, Polk","DAVENPORT, KISSIMMEE",407-815-4545,86.3,,,,,
671,VACATION WORLD USA,40,40,"Orange, Osceola, Polk","DAVENPORT, DAVENPORT , KISSEMMEE, KISSIMMEE, ORLANDO",407-496-6364,86.2,,,,,
687,ONLI VACATION HOMES,39,39,"Orange, Osceola, Polk","DAVENPORT, DAVENPORT , KISSIMMEE, ORLANDO, ORLANDO ",4079550521,85.8,,,,,
689,DUNLOCK PROPERTY MANAGEMENT LLC,39,39,"Lake, Osceola, Polk","CLERMONT, DAVENPORT, KISSIMME, KISSIMMEE",,85.8,,,,,
763,MHB PROPERTY MANAGEMENT INC,36,36,Lee,CAPE CORAL,239-573-4600,85.6,,,,,
599,WAHL GROUP VENTURES INC,45,44,"Manatee, Sarasota","BRADENTON, LAKEWOOD RANCH, SARASOTA",8137891215,85.4,,,,,
