Rank,Licensee Name,Total Units,Unique Addresses,Counties,Cities Served,Phone,Score,Owner Name,Owner Email,Owner LinkedIn,Website,Notes
539,AXD PROPERTIES LLC,49,49,"Lake, Orange, Osceola, Polk","CLERMONT, DAVENPORT, KISSIMMEE, ORLANDO",4077296936,100.0,,,,,
548,NEXT STAY VACATION RENTALS LLC,48,48,"Orange, Osceola, Polk","CHAMPIONS GATE, DAVENPORT, KISSIMMEE, ORLANDO",(407)705-7634,99.6,,,,,
574,VACATION LOCATIONS REALTY AND RENTALS LLC,47,47,"Duval, Osceola, St. Johns","ATLANTIC BEACH, JACKSONVILLE, JACKSONVILLE BEACH, JACKSONVILLE BEACH , KISSIMMEE, PONTE VEDRA BCH, PONTE VEDRA BEACH, PONTE VEDRA BEACH , PONTE VEDRA BLVD, ST AUGUSTINE",904-514-1747,99.2,,,,,
582,HOME VACATION CORP,46,46,"Lake, Osceola, Polk","CLERMONT, DAVENPORT, KISSIMMEE, REUNION",5713635228,98.8,,,,,
590,TITAN VACATION HOMES LLC,45,45,"Lake, Osceola, Polk","CLERMONT, DAVENPORT, HAINES CITY, KISSIMMEE",407-344-2007,98.3,,,,,
600,ISOKAITIS REALTY SERVICES LLC,44,44,"Manatee, Orange, Osceola, Polk","DAVENPORT, HOLMES BEACH, KISSIMMEE, KISSIMMME, ORLANDO, REUNION",4075770962,97.9,,,,,
613,BLUEANGELES PROPERTIES LLC,43,43,"Dade, Osceola, Polk","DAVENPORT, MIAMI",7869065535,97.5,,,,,
632,OFFICIAL VACATION HOMES LLC,42,42,"Lake, Osceola, Polk, Volusia","CLERMONT, DAVENPORT, DAVENPORT , HAINES CITY, HAINES CITY , KISSIMMEE, NEW SMYRNA BEACH",407-797-4920,97.1,,,,,
643,WELFARE VACATION HOMES LLC,41,41,"Lake, Orange, Osceola, Polk","CLERMONT, DAVENPORT, KISSIMMEE, ORLANDO",4077498919,96.7,,,,,
644,LANDMARK U.S. REALTY INC.,41,41,"Lake, Osceola, Polk","CLERMONT , DAVENPORT, KISSIMMEE",3218886136,96.7,,,,,
659,"GREATER SOUTHWEST FLORIDA PROPERTIES, INC",41,41,"Charlotte, Lee, Manatee, Sarasota","BRADENTON, FORT MYERS, LONGBOAT KEY, NOKOMIS, OSPREY, PORT CHARLOTTE, SARASOTA, SIESTA KEY, VENICE",203-249-9389,96.7,,,,,
701,MEGA VACATION HOMES LLC,38,38,"Lake, Osceola, Polk","CLERMONT, DAVENPORT, KISSIMMEE",4078004385,95.4,,,,,
577,TMI REAL ESTATE COMPANY AND RENTALS INC,47,47,"Charlotte, Sarasota","ENGLEWOOD, PLACIDA, PORT CHARLOTTE, ROTONDA, ROTONDA WEST, VENICE",941-460-0410,95.2,,,,,
581,LOYALTY VACATION HOMES LLC,46,46,"Osceola, Polk","DAVENPORT, DAVENPORT , KISSIMMEE, REUNION",863-521-8761,94.8,,,,,
746,VAL GAL REAL ESTATE INVESTMENTS INC,36,36,"Broward, Dade, Highlands","DANIA BEACH, DEERFIELD BEACH, FORT LAUDERDALE, FT. LAUDERDALE, HOLLYWOOD, HOLLYWOOD BEACH, LAKE PLACID, LIGHTHOUSE POINT, NORTH MIAMI BEACH, POMPANO BEACH",954.744.4210,94.6,,,,,
726,PLUS VACATION RENTAL LLC,37,36,"Citrus, Collier, Pinellas","CRYSTAL RIVERS, INVERNESS, IVERNESS, MARCO ISLAND, NAPLES, ST PETERSBURG",3125210850,93.9,,,,,
545,PARADISE BREEZE VACATION RENTALS AND REALTY LLC,49,46,"Charlotte, Sarasota","ENGLEWOOD, PLACIDA, PORT CHARLOTTE, ROTONDA WEST, ROTUNDA WEST, VENICE",941-223-2656,93.6,,,,,
542,VCJ PROPERTY MANAGEMENT LLC,49,45,"Flagler, Volusia","BEVERLY BEACH, FLAGLER BEACH, ORMOND BEACH, PALM COAST",904-576-6264,92.7,,,,,
621,"HOLIDAY BEACH RENTALS, INC.",43,42,"Bay, Walton","INLET BEACH, PANAMA CITY BEACH, PANAMA CITY BEACH ",850-249-3684,92.6,,,,,
851,ENCANTADA MANAGEMENT LLC,31,31,"Lake, Osceola, Polk","CLERMONT, DAVENPORT, KISSIMMEE",407-7705791,92.5,,,,,
677,DIAMOND GULF RENTALS LLC,40,40,"Okaloosa, Walton","DESTIN, INLET BEACH, MIRAMAR BEACH, SANTA ROSA BEACH",850.270.5232,92.2,,,,,
879,CENTRAL FL GULF COAST PROPERTY MANAGEMENT INC,30,30,"Hernando, Pasco, Pinellas","BROOKSVILLE, DUNEDIN, HERNANDO BEACH , HOLIDAY , HUDSON, NEW PORT RICHEY, PALM HARBOR, PORT RICHEY, SPRING HILL, TARPON SPRINGS, WEEKI WACHEE",314-420-9955,92.1,,,,,
880,DM REALTY USA LLC,30,30,"Orange, Osceola, Polk","DAVENPORT, KISSIMMEE, ORLANDO",407-452-7262,92.1,,,,,
907,ONE VACATION HOME INC,29,29,"Orange, Osceola, Polk","DAVENPORT, DAVENPORT , KISSIMMEE, KISSIMMEE , ORLANDO, SEVERAL",(844) 345-1549,91.7,,,,,
569,STR MANAGEMENT SOLUTIONS LLC,47,38,"Hillsborough, Lee, Manatee, Pinellas","ANNA MARIA, CLEARWATER, DUNEDIN, FORT MYERS, INDIAN SHORES, LARGO, PALM HARBOR, SEMINOLE, TAMPA, TAMPA , TREASURE ISLAND, TREASURE ISLAND ",813-563-0877,91.5,,,,,
573,SOLEIL VACATIONS LLC,47,47,"Bay, Brevard, Walton","MELBOURNE, MIRAMAR BEACH, PANAMA CITY, PANAMA CITY BEACH, SANTA ROSA BEACH",8502764697,91.2,,,,,
678,FRANGISTA BEACH REALTY INC,40,39,"Okaloosa, Walton","DESTIN, MIRAMAR BEACH",850-654-5501,91.2,,,,,
938,EASE PROPERTY MANAGEMENT LLC,28,28,"Monroe, Osceola, Polk, Seminole, Volusia","DAVENPORT, DAYTONA BEACH, HAINES CITY, ISLAMORADA, KISSIMMEE, LAKE MARY, SAINT CLOUD",407-271-8262,91.2,,,,,
546,"JRW VACATION RENTALS, LLC",49,49,Lee,"BOKEELIA, MATLACHA, ST. JAMES CITY, ST. JAMES CITY ",239-659-6105,91.0,,,,,
732,CONSTELLATION PROPERTY MANAGEMENT LLC,37,37,"Osceola, Polk","CHAMPIONSGATE, DAVENPORT, KISSIMMEE",6892877499,91.0,,,,,
965,MORADDA VACATION HOMES LLC,27,27,"Orange, Osceola, Polk","DAVENPORT, KISSIKKEE, KISSIMMEE, KISSIMMEE , ORLANDO",4077296936,90.8,,,,,
755,BEST PRICE VACATION HOMES LLC,36,36,"Osceola, Polk","DAVENPORT, DAVENPORT , KISSIMMEE",4078007028,90.6,,,,,
572,VACATION RENT ORLANDO LLC,47,47,Osceola,"KISSIMME, KISSIMMEE, REUNION",2037220332,90.2,,,,,
638,RUSSELL AND RUSSELL VACATION RENTALS LLC,42,39,"Okaloosa, Walton","DESTIN, MIRAMAR BEACH, PANAMA CITY BEACH, ROSEMARY BEACH, SANTA ROSA BEACH, SEACREST",8883180022,90.2,,,,,
647,EUPHORIA VACATION HOMES LLC,41,38,"Putnam, St. Johns","GREEN COVE SPRINGS, PALATKA, SAINT AUGUSTINE, ST AUGUSTINE, ST. AUGUSTINE",9045013755,89.7,,,,,
617,MGW HOLDINGS LLC,43,43,"Lake, Osceola, Polk","CLERMONT, DAVENPORT, KISSIMMEE",8634246896,89.5,,,,,
619,"SWEET INVESTMENT FL, LLC",43,43,"Lake, Osceola, Polk","CHAMPIONS GATE, CLEARMONT, DAVENPORT, KISSIMEE, KISSIMMEE, KISSIMMEE , KISSIMMEE FL",3219874171,89.5,,,,,
568,BELLOISE REAL ESTATE INC,47,46,Pinellas,"CLEARWATER BEACH, DUNEDIN, INDIAN ROCKS BEACH",7277091272,89.3,,,,,
813,EMERALD BEACH RENTALS LLC,33,33,"Bay, Walton","INLET BEACH, PANAMA CITY BEACH, PANAMA CITY BEACH , ROSEMARY, SANTA ROSA BEACH",8507084466,89.3,,,,,
634,PROPER GROUP LLC,42,42,"Flagler, St. Johns, Volusia","FLAGLER BEACH, ORMOND BEACH, PALM COAST, PONTE VEDRA BEACH, SAINT AUGUSTINE, ST AUGUSTINE, ST. AUGUSTINE, ST. AUGUSTINE BEACH, ST. AUGUSTINE,",6786130662,89.1,,,,,
828,ORLANDO REGIONAL PROPERTY MANAGEMENT INC,32,32,"Osceola, Polk","DAVENPORT, KISSIMMEE",407-800-4545,88.9,,,,,
833,PAMPERED PALM PROPERTIES LLC,32,32,"Bay, Walton","INLET BEACH, MIRAMAR BEACH, PANAMA CITY BEACH, ROSEMARY BEACH, SANDESTIN, SANTA ROSA BEACH, SEACREST, SEACREST BEACH",4056795042,88.9,,,,,
861,"ALL 30A PROPERTIES, LLC",31,31,"Okaloosa, Walton","DESTIN, INLET BEACH, MIRAMAR BEACH, SANTA ROSA BEACH",(850)699-9332,88.5,,,,,
863,DMB PROPERTY MANAGEMENT INC,31,31,"Leon, Wakulla","PANACEA, TALLAHASSEE",8504914753,88.5,,,,,
625,718 MANAGEMENT GROUP LLC,42,42,Broward,"DANIA, DANIA BEACH, HOLLYWOOD",646-441-0851,88.1,,,,,
626,INTTELI GROUP LLC,42,41,"Lake, Orange, Osceola, Polk","DAVENPORT, KISSIMMEE, ORLANDO",407-588-0808,88.1,,,,,
538,TOTAL SYNERGY SOLUTIONS LLC,49,49,"Osceola, Polk","CHAMPIONS GATE, DAVENPORT, KISSIMEE, KISSIMMEE, REUNION",4077647804,88.0,,,,,
609,GULF SUN VACATION RENTALS LLC,44,43,Gulf,"PORT SAINT JOE, PORT ST JOE",850-677-1332,88.0,,,,,
656,"SUNCOAST VACATION RENTALS OF ST. GEORGE ISLAND, LLC",41,41,Franklin,"EASTPOINT, ST GEORGE ISLAND, ST. GEORGE ISLAND",850-927-2282,87.7,,,,,
679,VAY CAY RENTALS LLC,40,35,"Escambia, Santa Rosa","GULF BREEZE, PENSACOLA, PENSACOLA BEACH",850-741-4715,87.2,,,,,
